NAICS CODE,PERCENTAGE,INDUSTRY NAME
522320,35.50%,Financial transaction processing
5112,16.10%,Software publishers
5415,16.10%,Computer systems design and related services
523920,9.70%,Portfolio management
518210,6.50%,"Data processing, hosting and related services"
522110,3.20%,Commercial banking
522291,3.20%,Consumer lending
511120,3.20%,Financial periodical publishers
5239,3.20%,Other financial investment activities
523999,3.20%,Miscellaneous financial investment activities
Source: https://academicworks.cuny.edu/cgi/viewcontent.cgi?article=1128&context=hc_sas_etds
